Community_Name,Sector,Side,Per_capita_income,Percent_unemployed,Percent_without_diploma,Percent_households_below_poverty,Neighborhood,Ward,ZIP,Police_District,Unit_ID,Violation_ID,Issued_year,Time_of_day,License_plate_origin,Vehicle_type
West Town,West Town,West Side,43198,6.6,12.9,14.7,WT,27,60642,12,501,44,2013,Morning,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60603,1,152,90,2006,AfterWork,In-state,PAS
South Shore,Other S/SE/SW Side,South Side,19398,20,14,31.1,SS,8,60619,3,501,10,2011,Midday,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,43,60614,19,498,10,2013,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,S,2,60611,18,18,105,2007,Midday,In-state,PAS
West Englewood,Other S/SE/SW Side,Southwest Side,11317,35.9,26.3,34.4,E2,16,60636,7,498,10,2011,Morning,In-state,Other
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,LI,27,60612,12,12,113,2004,Evening,In-state,PAS
Forest Glen,Other N/NW Side,Far North Side,44164,6.8,4.9,7.5,SF,45,60646,16,498,113,2014,Morning,In-state,PAS
Bridgeport,Other S/SE/SW Side,South Side,22694,13.7,22.2,18.9,B3,11,60608,9,9,154,2002,AfterWork,In-state,TRK
West Ridge,Other N/NW Side,Far North Side,23040,8.8,20.8,17.2,WR,50,60659,24,24,1,2004,Midday,In-state,PAS
Humboldt Park,Other W Side,West Side,13781,17.3,35.4,33.9,HP1,26,60651,14,498,10,2011,Morning,In-state,PAS
Edgewater,Other N/NW Side,Far North Side,33385,9.2,9.7,18.2,E1,48,60660,24,24,1,2003,Midday,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,2,60642,18,18,10,1999,AfterWork,In-state,PAS
New City,Other S/SE/SW Side,Southwest Side,12765,23,41.5,29,NC1,15,60609,9,9,65,2003,AfterWork,Out-of-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,MP2,42,60602,1,729,79,2012,Evening,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,S,42,60611,18,18,90,2010,Overnight,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60603,1,152,79,2001,Midday,In-state,PAS
Beverly,Other S/SE/SW Side,Far Southwest Side,39523,8,3.7,5.1,B1,19,60643,22,22,28,2015,AfterWork,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60602,1,152,1,2000,Midday,In-state,TRK
Belmont Cragin,Other N/NW Side,Northwest Side,15461,14.6,37.3,18.7,BC,26,60639,25,498,44,2017,Midday,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,498,65,2016,Morning,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,W2,46,60613,19,498,6,2005,Morning,Out-of-state,PAS
Belmont Cragin,Other N/NW Side,Northwest Side,15461,14.6,37.3,18.7,BC,31,60639,25,0,123,1998,Morning,In-state,Other
Loop,Loop,Central,65526,5.7,3.1,14.7,GP2,42,60605,1,1,163,2010,Overnight,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,24,60623,10,10,44,2007,Morning,In-state,TRK
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,Sa,43,60614,18,18,44,2011,Morning,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,LI,28,60612,11,14,123,1999,Evening,In-state,PAS
Washington Heights,Other S/SE/SW Side,Far Southwest Side,19713,20.8,13.7,16.9,WH,21,60620,22,22,6,2000,Midday,Out-of-state,PAS
Brighton Park,Other S/SE/SW Side,Southwest Side,13089,13.9,45.1,23.6,BP,12,60632,9,729,113,2017,Morning,In-state,PAS
Garfield Ridge,Garfield Ridge (Midway),Southwest Side,26353,11.3,19.3,8.8,GR,23,60638,8,8,10,2013,Midday,In-state,TRK
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,LI,27,60612,12,0,154,1998,Midday,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,32,60614,19,0,162,1997,AfterWork,In-state,PAS
Washington Park,Other S/SE/SW Side,South Side,13785,28.6,25.4,42.1,WP2,20,60615,2,2,185,2018,Morning,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,29,60644,15,15,178,2002,AfterWork,In-state,PAS
Woodlawn,Other S/SE/SW Side,South Side,18672,23.4,16.5,30.7,W1,5,60637,3,498,6,2013,Morning,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,43,60614,19,502,110,2006,Evening,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,29,60644,15,25,144,2007,Evening,Out-of-state,TRK
Bridgeport,Other S/SE/SW Side,South Side,22694,13.7,22.2,18.9,B3,11,60616,9,502,10,2008,AfterWork,In-state,PAS
Albany Park,Other N/NW Side,Far North Side,21323,10,32.9,19.2,AP2,33,60625,17,498,178,2010,Morning,In-state,PAS
Woodlawn,Other S/SE/SW Side,South Side,18672,23.4,16.5,30.7,W1,20,60637,3,8,10,2013,AfterWork,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,MP2,42,60602,1,0,113,1998,Morning,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,37,60651,25,25,1,2008,Evening,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,29,60644,15,498,6,2006,Morning,In-state,PAS
Austin,Other W Side,West Side,15957,22.6,24.4,28.6,A3,29,60644,15,498,123,2011,Midday,In-state,PAS
Lower West Side,Other W Side,West Side,16444,15.8,40.7,25.8,LW,25,60608,12,498,154,2013,Midday,In-state,PAS
Rogers Park,Other N/NW Side,Far North Side,23939,8.7,18.2,23.6,RP,49,60626,24,24,123,2007,Midday,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,MP2,42,60602,1,495,105,2016,Midday,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,10,1,2001,Midday,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,10,28,2015,Midday,In-state,PAS
North Lawndale,Other W Side,West Side,12034,21.2,27.6,43.1,NL,24,60623,10,10,10,2014,Morning,In-state,PAS
South Shore,Other S/SE/SW Side,South Side,19398,20,14,31.1,SS,7,60649,4,4,1,2009,AfterWork,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,42,60654,18,498,178,2002,Midday,In-state,PAS
Brighton Park,Other S/SE/SW Side,Southwest Side,13089,13.9,45.1,23.6,BP,15,60632,9,9,123,2002,Morning,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,OT,43,60614,18,18,6,2008,Morning,In-state,PAS
Uptown,Other N/NW Side,Far North Side,35787,8.9,11.8,24,U,48,60640,20,20,1,2003,AfterWork,In-state,PAS
Logan Square,Logan Square,North Side,31908,8.2,14.8,16.8,LS2,35,60647,14,498,113,2013,Midday,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,498,185,2013,Midday,In-state,TMP
Lincoln Square,Other N/NW Side,Far North Side,37524,8.2,13.4,10.9,LS1,47,60625,20,19,164,2008,AfterWork,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,Ra,42,60610,18,18,8,2000,Morning,Out-of-state,PAS
North Center,Other N/NW Side,North Side,57123,5.2,4.5,7.5,NC2,32,60657,19,502,113,2007,Midday,In-state,PAS
South Shore,Other S/SE/SW Side,South Side,19398,20,14,31.1,SS,7,60649,3,3,28,2003,Midday,Out-of-state,PAS
Edgewater,Other N/NW Side,Far North Side,33385,9.2,9.7,18.2,E1,48,60660,24,24,44,2015,AfterWork,Out-of-state,PAS
West Ridge,Other N/NW Side,Far North Side,23040,8.8,20.8,17.2,WR,50,60659,24,498,113,2014,Morning,In-state,PAS
Logan Square,Logan Square,North Side,31908,8.2,14.8,16.8,LS2,1,60647,14,14,105,2005,Morning,In-state,PAS
North Center,Other N/NW Side,North Side,57123,5.2,4.5,7.5,NC2,47,60613,19,502,113,2007,Evening,In-state,PAS
West Town,West Town,West Side,43198,6.6,12.9,14.7,WT,34,60654,12,502,185,2017,AfterWork,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,Sa,43,60614,19,502,8,2002,Overnight,Out-of-state,PAS
North Center,Other N/NW Side,North Side,57123,5.2,4.5,7.5,NC2,32,60618,19,14,123,2003,Overnight,In-state,PAS
Englewood,Other S/SE/SW Side,Southwest Side,11888,28,28.5,46.6,E2,16,60621,7,498,6,2005,Morning,In-state,PAS
West Lawn,Other S/SE/SW Side,Southwest Side,16907,9.6,33.6,14.9,WL1,18,60652,8,8,161,2000,Overnight,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,498,6,2008,Morning,In-state,PAS
Jefferson Park,Other N/NW Side,Far North Side,27751,12.4,13.4,8.6,JP2,41,60630,16,16,10,2003,Evening,In-state,PAS
Belmont Cragin,Other N/NW Side,Northwest Side,15461,14.6,37.3,18.7,BC,26,60639,25,25,10,2006,Overnight,In-state,TMP
South Chicago,Other S/SE/SW Side,Far Southeast Side,16579,19.7,26.6,29.8,SC,7,60617,4,498,179,2008,Midday,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,32,60657,19,498,44,2013,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,Ra,2,60610,18,502,44,2011,Evening,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,502,44,2015,AfterWork,In-state,PAS
Edgewater,Other N/NW Side,Far North Side,33385,9.2,9.7,18.2,A1,48,60640,20,502,113,2013,Midday,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,L,34,60602,1,15,124,2012,Overnight,In-state,PAS
Loop,Loop,Central,65526,5.7,3.1,14.7,MP2,42,60602,1,0,163,1998,Evening,In-state,PAS
Albany Park,Other N/NW Side,Far North Side,21323,10,32.9,19.2,AP2,40,60625,17,17,10,2011,Overnight,In-state,PAS
Dunning,Other N/NW Side,Northwest Side,26282,10,16.2,10.6,D2,38,60634,16,16,185,2017,Overnight,In-state,Other
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,46,60613,19,19,90,2013,Midday,In-state,PAS
West Englewood,Other S/SE/SW Side,Southwest Side,11317,35.9,26.3,34.4,E2,16,60636,7,498,154,2007,Morning,In-state,PAS
Greater Grand Crossing,Other S/SE/SW Side,South Side,17285,23,16.5,29.6,GC1,6,60620,6,6,185,2012,Overnight,In-state,PAS
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,4,60615,2,0,11,1998,AfterWork,In-state,PAS
Hyde Park,Other S/SE/SW Side,South Side,39056,8.4,4.3,18.4,HP2,4,60615,2,21,154,2004,AfterWork,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,B2,46,60657,19,498,6,2003,Morning,In-state,PAS
Humboldt Park,Other W Side,West Side,13781,17.3,35.4,33.9,HP1,26,60651,14,14,8,2002,AfterWork,In-state,PAS
Edgewater,Other N/NW Side,Far North Side,33385,9.2,9.7,18.2,E1,48,60660,24,498,113,2017,Midday,In-state,PAS
South Chicago,Other S/SE/SW Side,Far Southeast Side,16579,19.7,26.6,29.8,SC,10,60617,4,498,113,2013,Midday,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,498,28,2013,Morning,Out-of-state,TRK
Albany Park,Other N/NW Side,Far North Side,21323,10,32.9,19.2,AP2,33,60625,17,17,163,2006,Morning,In-state,TRK
West Town,West Town,West Side,43198,6.6,12.9,14.7,WP3,1,60622,14,498,113,2012,AfterWork,In-state,PAS
New City,Other S/SE/SW Side,Southwest Side,12765,23,41.5,29,NC1,15,60609,9,9,11,2003,Evening,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,43,60614,18,18,6,1998,Morning,In-state,TRK
West Englewood,Other S/SE/SW Side,Southwest Side,11317,35.9,26.3,34.4,E2,17,60636,7,7,123,2005,Midday,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,502,44,2017,Evening,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,RN,27,60610,18,729,79,2016,Evening,In-state,PAS
Lower West Side,Other W Side,West Side,16444,15.8,40.7,25.8,LW,25,60608,12,18,1,2007,Midday,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,19,185,2013,Midday,In-state,TRK
Irving Park,Other N/NW Side,Northwest Side,27249,10,22.4,13.1,IP,30,60641,17,17,10,2002,AfterWork,In-state,PAS
Belmont Cragin,Other N/NW Side,Northwest Side,15461,14.6,37.3,18.7,BC,26,60639,25,501,123,2001,Midday,In-state,PAS
West Ridge,Other N/NW Side,Far North Side,23040,8.8,20.8,17.2,WR,50,60659,24,24,1,2004,AfterWork,In-state,PAS
West Elsdon,Other S/SE/SW Side,Southwest Side,15754,16.7,37,15.6,WE,23,60632,8,498,185,2015,Morning,In-state,PAS
Clearing,Other S/SE/SW Side,Southwest Side,25113,9.5,18.8,8.9,C3,13,60638,8,16,10,2015,Overnight,In-state,PAS
South Lawndale,Other W Side,West Side,10402,15.8,54.8,30.7,LV1,22,60623,10,14,6,2007,Morning,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,LI,34,60607,12,498,6,2012,Morning,In-state,PAS
Albany Park,Other N/NW Side,Far North Side,21323,10,32.9,19.2,AP2,33,60625,17,17,105,2005,Overnight,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,Ra,2,60610,18,55,10,2015,Evening,In-state,PAS
Chatham,Other S/SE/SW Side,Far Southeast Side,18881,24,14.5,27.8,C1,6,60619,6,498,10,2009,Morning,In-state,TMP
Loop,Loop,Central,65526,5.7,3.1,14.7,L,4,60605,1,1,52,2003,Overnight,In-state,PAS
Near West Side,Near West Side,West Side,44689,10.7,9.6,20.6,LI,27,60612,12,12,26,2009,Evening,In-state,PAS
West Lawn,Other S/SE/SW Side,Southwest Side,16907,9.6,33.6,14.9,WL1,13,60629,8,0,8,1996,Morning,In-state,PAS
Near North Side,Near North Side,Central,88669,7,2.5,12.9,S,42,60611,18,502,154,2012,Midday,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,LV2,44,60657,19,502,154,2012,AfterWork,In-state,PAS
Lake View,Lake View,North Side,60058,4.7,2.6,11.4,W2,44,60613,19,498,8,2002,Morning,Out-of-state,PAS
Logan Square,Logan Square,North Side,31908,8.2,14.8,16.8,B4,32,60647,14,498,113,2006,Midday,In-state,PAS
Roseland,Other S/SE/SW Side,Far Southeast Side,17949,20.3,16.9,19.8,R2,9,60628,5,5,163,2014,Morning,In-state,PAS
Rogers Park,Other N/NW Side,Far North Side,23939,8.7,18.2,23.6,RP,49,60626,24,0,143,1998,Morning,In-state,PAS
Logan Square,Logan Square,North Side,31908,8.2,14.8,16.8,LS2,1,60647,14,498,6,2009,Morning,Out-of-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,LP,43,60614,18,502,113,2012,AfterWork,In-state,PAS
Humboldt Park,Other W Side,West Side,13781,17.3,35.4,33.9,HP1,26,60647,25,25,123,1998,Midday,In-state,PAS
Lincoln Park,Lincoln Park,North Side,71551,5.1,3.6,12.3,OT,43,60614,18,18,44,2003,AfterWork,Out-of-state,PAS
